time,x-position,velocity,momentum,kinetic energy,potential energy
22.4,0.683899,-1.45915,-1.45915,1.06456,0.935436
22.5,0.525322,-1.70181,-1.70181,1.44807,0.551926
22.6,0.345802,-1.87661,-1.87661,1.76084,0.239158
22.7,0.152496,-1.97661,-1.97661,1.95349,0.0465102
22.8,-0.0468893,-1.9978,-1.9978,1.9956,0.00439722
22.9,-0.244405,-1.93935,-1.93935,1.88053,0.119468
23,-0.432178,-1.80358,-1.80358,1.62644,0.373556
23.1,-0.602721,-1.5959,-1.5959,1.27346,0.726545
23.2,-0.749235,-1.32461,-1.32461,0.877293,1.12271
23.3,-0.86588,-1.0005,-1.0005,0.500504,1.4995
23.4,-0.948005,-0.636513,-0.636513,0.202574,1.79743
23.5,-0.992335,-0.247146,-0.247146,0.0305406,1.96946
23.6,-0.997105,0.152073,0.152073,0.0115632,1.98844
23.7,-0.962123,0.545231,0.545231,0.148638,1.85136
23.8,-0.888784,0.916651,0.916651,0.420124,1.57988
23.9,-0.780013,1.25153,1.25153,0.78316,1.21684
24,-0.640144,1.53651,1.53651,1.18043,0.81957
24.1,-0.474755,1.76024,1.76024,1.54921,0.450785
24.2,-0.29044,1.91379,1.91379,1.83129,0.16871
24.3,-0.0945447,1.99104,1.99104,1.98212,0.0178774
24.4,0.105119,1.98892,1.98892,1.9779,0.0221001
24.5,0.300593,1.90751,1.90751,1.81929,0.180712
24.6,0.484082,1.75005,1.75005,1.53133,0.468671
24.7,0.648273,1.52282,1.52282,1.15948,0.840515
24.8,0.786619,1.23488,1.23488,0.762461,1.23754
24.9,0.893605,0.897708,0.897708,0.40294,1.59706
25,0.964966,0.52475,0.52475,0.137681,1.86232
25.1,0.997857,0.130871,0.130871,0.00856365,1.99144
25.2,0.990966,-0.268224,-0.268224,0.0359722,1.96403
25.3,0.944569,-0.656627,-0.656627,0.21558,1.78442
25.4,0.860515,-1.01885,-1.01885,0.51903,1.48097
25.5,0.742154,-1.34046,-1.34046,0.898414,1.10159
25.6,0.594207,-1.60862,-1.60862,1.29384,0.706163
25.7,0.42257,-1.81266,-1.81266,1.64287,0.35713
25.8,0.234086,-1.94443,-1.94443,1.89041,0.109593
25.9,0.0362708,-1.99868,-1.99868,1.99737,0.00263115
26,-0.162991,-1.97326,-1.97326,1.94687,0.053132
26.1,-0.355754,-1.86916,-1.86916,1.74688,0.253122
26.2,-0.534335,-1.69055,-1.69055,1.42897,0.571028
26.3,-0.691614,-1.44453,-1.44453,1.04334,0.95666
26.4,-0.82132,-1.14094,-1.14094,0.650867,1.34913
26.5,-0.918283,-0.79185,-0.79185,0.313513,1.68649
26.6,-0.978636,-0.411197,-0.411197,0.0845414,1.91546
26.7,-0.999975,-0.0141501,-0.0141501,0.000100113,1.9999
26.8,-0.981448,0.383461,0.383461,0.073521,1.92648
26.9,-0.923793,0.765784,0.765784,0.293213,1.70679
27,-0.82931,1.11758,1.11758,0.62449,1.37551
27.1,-0.701765,1.42482,1.42482,1.01505,0.984947
27.2,-0.546242,1.67525,1.67525,1.40324,0.596761
27.3,-0.368943,1.8589,1.8589,1.72776,0.272238
27.4,-0.176935,1.96845,1.96845,1.93739,0.062612
27.5,0.0221268,1.99951,1.99951,1.99902,0.000979187
27.6,0.220306,1.95086,1.95086,1.90293,0.0970698
27.7,0.409703,1.82444,1.82444,1.66429,0.335713
27.8,0.582766,1.62528,1.62528,1.32077,0.679233
27.9,0.732596,1.36133,1.36133,0.926605,1.07339
28,0.85322,1.0431,1.0431,0.544031,1.45597
28.1,0.939829,0.683292,0.683292,0.233444,1.76656
28.2,0.988969,0.296241,0.296241,0.0438795,1.95612
28.3,0.998683,-0.102619,-0.102619,0.00526537,1.99473
28.4,0.968582,-0.497389,-0.497389,0.123698,1.8763
