time,x-position,velocity,momentum,kinetic energy,potential energy
19.8,-0.00013811,-0.0140186,-0.0140186,9.82599e-05,3.81486e-08
19.9,-0.00149369,-0.013011,-0.013011,8.46436e-05,4.46222e-06
20,-0.00272507,-0.0115467,-0.0115467,6.66632e-05,1.48521e-05
20.1,-0.00379043,-0.00970478,-0.00970478,4.70914e-05,2.87348e-05
20.2,-0.00465644,-0.0075753,-0.0075753,2.86926e-05,4.33648e-05
20.3,-0.00529913,-0.0052551,-0.0052551,1.3808e-05,5.61616e-05
20.4,-0.00570442,-0.0028437,-0.0028437,4.04333e-06,6.50808e-05
20.5,-0.00586811,-0.00043933,-0.00043933,9.65054e-08,6.88695e-05
20.6,-0.00579564,0.00186487,0.00186487,1.73886e-06,6.71788e-05
20.7,-0.00550132,0.00398417,0.00398417,7.93679e-06,6.0529e-05
20.8,-0.00500743,0.00584518,0.00584518,1.7083e-05,5.01487e-05
20.9,-0.0043429,0.00738813,0.00738813,2.72922e-05,3.77216e-05
21,-0.00354191,0.00856852,0.00856852,3.67098e-05,2.50902e-05
21.1,-0.00264224,0.00935815,0.00935815,4.37875e-05,1.39629e-05
21.2,-0.00168371,0.00974537,0.00974537,4.74861e-05,5.66974e-06
21.3,-0.000706446,0.00973473,0.00973473,4.73825e-05,9.98133e-07
21.4,0.000250623,0.00934606,0.00934606,4.36745e-05,1.25624e-07
21.5,0.00115127,0.00861292,0.00861292,3.70912e-05,2.65085e-06
21.6,0.00196322,0.0075806,0.0075806,2.87327e-05,7.70849e-06
21.7,0.00265923,0.00630384,0.00630384,1.98692e-05,1.41431e-05
21.8,0.00321789,0.00484422,0.00484422,1.17332e-05,2.07097e-05
21.9,0.00362417,0.00326741,0.00326741,5.33797e-06,2.62692e-05
22,0.0038697,0.00164044,0.00164044,1.34552e-06,2.99492e-05
22.1,0.00395278,2.90278e-05,2.90278e-05,4.21308e-10,3.1249e-05
22.2,0.0038781,-0.00150492,-0.00150492,1.1324e-06,3.00793e-05
22.3,0.00365625,-0.00290554,-0.00290554,4.22108e-06,2.67363e-05
22.4,0.00330304,-0.00412486,-0.00412486,8.50724e-06,2.18202e-05
22.5,0.00283862,-0.00512431,-0.00512431,1.31293e-05,1.61155e-05
22.6,0.00228646,-0.00587576,-0.00587576,1.72623e-05,1.04558e-05
22.7,0.00167232,-0.00636206,-0.00636206,2.02379e-05,5.59329e-06
22.8,0.0010231,-0.00657725,-0.00657725,2.16301e-05,2.09345e-06
22.9,0.000365754,-0.00652618,-0.00652618,2.12955e-05,2.67552e-07
23,-0.000273753,-0.00622382,-0.00622382,1.93679e-05,1.49881e-07
23.1,-0.000871425,-0.00569418,-0.00569418,1.62118e-05,1.51876e-06
23.2,-0.00140606,-0.00496894,-0.00496894,1.23452e-05,3.95402e-06
23.3,-0.00185995,-0.00408585,-0.00408585,8.3471e-06,6.91881e-06
23.4,-0.00221937,-0.00308695,-0.00308695,4.76462e-06,9.8512e-06
23.5,-0.00247496,-0.00201672,-0.00201672,2.03357e-06,1.22508e-05
23.6,-0.00262184,-0.000920259,-0.000920259,4.23438e-07,1.37481e-05
23.7,-0.0026596,0.00015851,0.00015851,1.25626e-08,1.4147e-05
23.8,-0.0025921,0.0011785,0.0011785,6.94433e-07,1.3438e-05
23.9,-0.00242709,0.00210292,0.00210292,2.21114e-06,1.17816e-05
24,-0.00217575,0.00290048,0.00290048,4.20639e-06,9.46781e-06
24.1,-0.00185206,0.00354635,0.00354635,6.2883e-06,6.86027e-06
24.2,-0.00147214,0.00402282,0.00402282,8.09153e-06,4.33438e-06
24.3,-0.0010535,0.00431961,0.00431961,9.32953e-06,2.21971e-06
24.4,-0.000614305,0.00443396,0.00443396,9.83e-06,7.54742e-07
24.5,-0.000172645,0.00437031,0.00437031,9.54979e-06,5.96129e-08
24.6,0.000254188,0.00413981,0.00413981,8.56903e-06,1.29223e-07
24.7,0.00065032,0.00375958,0.00375958,7.06721e-06,8.45833e-07
24.8,0.00100184,0.00325169,0.00325169,5.28674e-06,2.00738e-06
24.9,0.00129727,0.00264212,0.00264212,3.4904e-06,3.3658e-06
25,0.00152783,0.00195954,0.00195954,1.9199e-06,4.66855e-06
25.1,0.00168774,0.00123405,0.00123405,7.61441e-07,5.69695e-06
25.2,0.00177422,0.000495955,0.000495955,1.22986e-07,6.29574e-06
25.3,0.00178749,-0.000225429,-0.000225429,2.54092e-08,6.39027e-06
25.4,0.00173061,-0.000902865,-0.000902865,4.07583e-07,5.99e-06
25.5,0.0016092,-0.00151215,-0.00151215,1.1433e-06,5.17903e-06
25.6,0.00143113,-0.00203292,-0.00203292,2.06639e-06,4.09627e-06
25.7,0.0012061,-0.00244924,-0.00244924,2.99939e-06,2.90935e-06
25.8,0.00094514,-0.00275001,-0.00275001,3.78129e-06,1.78658e-06
25.9,0.000660156,-0.00292918,-0.00292918,4.29004e-06,8.71611e-07
26,0.000363399,-0.0029857,-0.0029857,4.45719e-06,2.64117e-07
26.1,6.69832e-05,-0.00292336,-0.00292336,4.27301e-06,8.97349e-09
26.2,-0.000217581,-0.00275038,-0.00275038,3.78229e-06,9.46827e-08
26.3,-0.000479805,-0.00247888,-0.00247888,3.07243e-06,4.60426e-07
26.4,-0.000710583,-0.00212423,-0.00212423,2.25619e-06,1.00986e-06
26.5,-0.000902473,-0.00170428,-0.00170428,1.45228e-06,1.62892e-06
26.6,-0.00104991,-0.00123853,-0.00123853,7.66976e-07,2.20463e-06
26.7,-0.00114933,-0.000747331,-0.000747331,2.79252e-07,2.64192e-06
26.8,-0.00119921,-0.000251029,-0.000251029,3.15079e-08,2.8762e-06
26.9,-0.00120002,0.000230829,0.000230829,2.66411e-08,2.88009e-06
27,-0.00115413,0.000680211,0.000680211,2.31344e-07,2.66402e-06
27.1,-0.00106559,0.00108123,0.00108123,5.84524e-07,2.27098e-06
27.2,-0.000939939,0.00142064,0.00142064,1.0091e-06,1.76697e-06
27.3,-0.000783862,0.00168825,0.00168825,1.4251e-06,1.22888e-06
27.4,-0.000604916,0.00187716,0.00187716,1.76187e-06,7.31847e-07
27.5,-0.000411174,0.00198387,0.00198387,1.96786e-06,3.38128e-07
27.6,-0.000210891,0.00200822,0.00200822,2.01647e-06,8.89503e-08
27.7,-1.21759e-05,0.00195329,0.00195329,1.90767e-06,2.96505e-10
27.8,0.000177322,0.00182509,0.00182509,1.66547e-06,6.28858e-08
27.9,0.000350682,0.00163216,0.00163216,1.33198e-06,2.45955e-07
28,0.00050195,0.00138518,0.00138518,9.59358e-07,5.03908e-07
28.1,0.000626322,0.00109637,0.00109637,6.01017e-07,7.84558e-07
28.2,0.000720273,0.00077902,0.00077902,3.03436e-07,1.03759e-06
28.3,0.000781632,0.000446852,0.000446852,9.98382e-08,1.2219e-06
28.4,0.000809604,0.000113506,0.000113506,6.44185e-09,1.31092e-06
28.5,0.00080473,-0.000207995,-0.000207995,2.1631e-08,1.29518e-06
28.6,0.000768799,-0.000505729,-0.000505729,1.27881e-07,1.1821e-06
28.7,0.000704725,-0.000769276,-0.000769276,2.95893e-07,9.93276e-07
28.8,0.000616372,-0.000990055,-0.000990055,4.90105e-07,7.59829e-07
28.9,0.000508359,-0.00116157,-0.00116157,6.74619e-07,5.16858e-07
29,0.000385846,-0.00127954,-0.00127954,8.18617e-07,2.97754e-07
29.1,0.000254303,-0.00134201,-0.00134201,9.00497e-07,1.2934e-07
29.2,0.000119287,-0.00134925,-0.00134925,9.10231e-07,2.84588e-08
29.3,-1.3783e-05,-0.00130366,-0.00130366,8.49763e-07,3.79945e-10
29.4,-0.000139827,-0.0012096,-0.0012096,7.31567e-07,3.91033e-08
29.5,-0.000254287,-0.00107309,-0.00107309,5.75764e-07,1.29323e-07
29.6,-0.000353276,-0.000901514,-0.000901514,4.06363e-07,2.49607e-07
29.7,-0.000433699,-0.000703245,-0.000703245,2.47277e-07,3.7619e-07
29.8,-0.000493335,-0.0004873,-0.0004873,1.18731e-07,4.86759e-07
29.9,-0.000530879,-0.000262937,-0.000262937,3.4568e-08,5.63664e-07
30,-0.000545947,-3.9292e-05,-3.9292e-05,7.7193e-10,5.96117e-07
30.1,-0.000539051,0.000174974,0.000174974,1.53079e-08,5.81151e-07
30.2,-0.000511529,0.000371986,0.000371986,6.91868e-08,5.23323e-07
30.3,-0.000465457,0.000544924,0.000544924,1.48471e-07,4.33301e-07
30.4,-0.000403533,0.000688238,0.000688238,2.36836e-07,3.25678e-07
30.5,-0.000328937,0.000797799,0.000797799,3.18242e-07,2.16398e-07
30.6,-0.000245187,0.000870993,0.000870993,3.79314e-07,1.20233e-07
30.7,-0.000155988,0.000906747,0.000906747,4.11095e-07,4.86643e-08
30.8,-6.50726e-05,0.000905498,0.000905498,4.09963e-07,8.46889e-09
30.9,2.39388e-05,0.000869097,0.000869097,3.77665e-07,1.14614e-09
31,0.000107678,0.000800676,0.000800676,3.20541e-07,2.31892e-08
31.1,0.000183146,0.000704456,0.000704456,2.48129e-07,6.70852e-08
31.2,0.000247812,0.000585535,0.000585535,1.71425e-07,1.22822e-07
31.3,0.000299687,0.000449644,0.000449644,1.0109e-07,1.79625e-07
31.4,0.000337379,0.000302895,0.000302895,4.58728e-08,2.27649e-07
