time,x-position,velocity,momentum,kinetic energy,potential energy
16.2,0.845743,1.08097,1.08097,0.584249,1.43056
16.3,0.936331,0.724769,0.724769,0.262645,1.75343
16.4,0.989737,0.339803,0.339803,0.0577329,1.95916
16.5,1.00384,-0.0586472,-0.0586472,0.00171975,2.01539
16.6,0.978085,-0.45476,-0.45476,0.103404,1.9133
16.7,0.913492,-0.832807,-0.832807,0.346784,1.66894
16.8,0.812628,-1.17777,-1.17777,0.693572,1.32073
16.9,0.679499,-1.47595,-1.47595,1.08921,0.923439
17,0.519395,-1.71549,-1.71549,1.47146,0.539542
17.1,0.338675,-1.88689,-1.88689,1.78017,0.229402
17.2,0.14452,-1.98331,-1.98331,1.96676,0.0417721
17.3,-0.0553565,-2.00093,-2.00093,2.00186,0.00612867
17.4,-0.253012,-1.93905,-1.93905,1.87995,0.128031
17.5,-0.440594,-1.80011,-1.80011,1.62019,0.388246
17.6,-0.610646,-1.58963,-1.58963,1.26346,0.745777
17.7,-0.756411,-1.31598,-1.31598,0.865902,1.14432
17.8,-0.872096,-0.990029,-0.990029,0.490079,1.5211
17.9,-0.953104,-0.624732,-0.624732,0.195145,1.81681
18,-0.996214,-0.234608,-0.234608,0.0275204,1.98488
18.1,-0.999714,0.164834,0.164834,0.0135851,1.99886
18.2,-0.963466,0.557712,0.557712,0.155521,1.85653
18.3,-0.888912,0.928405,0.928405,0.430968,1.58033
18.4,-0.779018,1.26217,1.26217,0.796539,1.21374
18.5,-0.638153,1.54574,1.54574,1.19465,0.814479
18.6,-0.471922,1.76782,1.76782,1.5626,0.445421
18.7,-0.286935,1.9196,1.9196,1.84242,0.164664
18.8,-0.0905513,1.99501,1.99501,1.99004,0.0163991
18.9,0.109419,1.99108,1.99108,1.98219,0.0239449
19,0.30502,1.90794,1.90794,1.82011,0.186075
19.1,0.488473,1.7489,1.7489,1.52932,0.477211
19.2,0.652478,1.52029,1.52029,1.15564,0.851455
19.3,0.790512,1.2312,1.2312,0.757928,1.24982
19.4,0.897083,0.893134,0.893134,0.398844,1.60952
19.5,0.967953,0.519539,0.519539,0.13496,1.87386
19.6,1.0003,0.12528,0.12528,0.00784751,2.00121
19.7,0.992843,-0.273955,-0.273955,0.0375257,1.97147
19.8,0.945874,-0.662278,-0.662278,0.219306,1.78936
19.9,0.861267,-1.02424,-1.02424,0.52453,1.48356
20,0.742388,-1.34542,-1.34542,0.905081,1.10228
20.1,0.59397,-1.61305,-1.61305,1.30097,0.705601
20.2,0.42192,-1.81648,-1.81648,1.6498,0.356034
20.3,0.233088,-1.9476,-1.9476,1.89656,0.10866
20.4,0.0349888,-2.00119,-2.00119,2.00237,0.00244844
20.5,-0.164491,-1.97512,-1.97512,1.95055,0.0541144
20.6,-0.35741,-1.87042,-1.87042,1.74924,0.255484
20.7,-0.53609,-1.69127,-1.69127,1.4302,0.574786
20.8,-0.693418,-1.4448,-1.4448,1.04372,0.961657
20.9,-0.82313,-1.14081,-1.14081,0.650719,1.35509
21,-0.920063,-0.791402,-0.791402,0.313159,1.69303
21.1,-0.980359,-0.410497,-0.410497,0.0842538,1.92221
21.2,-1.00162,-0.0132558,-0.0132558,8.78578e-05,2.00648
21.3,-0.982993,0.384504,0.384504,0.0739218,1.93255
21.4,-0.925228,0.766946,0.766946,0.294103,1.71209
21.5,-0.830623,1.11884,1.11884,0.625901,1.37987
21.6,-0.702947,1.42617,1.42617,1.01698,0.98827
21.7,-0.547285,1.67671,1.67671,1.40567,0.599041
21.8,-0.369835,1.86046,1.86046,1.73066,0.273556
21.9,-0.177665,1.97013,1.97013,1.9407,0.0631297
22,0.0215716,2.00133,2.00133,2.00265,0.00093067
22.1,0.21994,1.95282,1.95282,1.90676,0.0967472
22.2,0.40954,1.82654,1.82654,1.66813,0.335446
22.3,0.58282,1.62752,1.62752,1.32441,0.679359
